EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
0,1,1,0,0,21.0,2,1,0,0,1.0,0.0,0.0,2.240000009536743,18.08099937438965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,0,29.0,0,1,0,0,0.0,1.0,0.0,3.7100000381469727,63.50299835205078,1.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0
1,0,0,0,0,35.0,1,0,0,0,0.0,0.0,1.0,7.050000190734863,52.599998474121094,3.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0
0,1,0,0,0,23.0,0,0,0,0,0.0,0.0,1.0,6.360000133514404,99.59100341796875,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0
0,1,0,0,0,28.0,1,1,0,0,0.0,1.0,0.0,3.240000009536743,33.50600051879883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
0,1,0,0,0,25.0,4,0,0,0,1.0,0.0,0.0,3.2200000286102295,81.99800109863281,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
0,1,0,0,0,28.0,4,0,0,0,1.0,0.0,0.0,3.2200000286102295,71.79100036621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0,1,0,1,0,30.0,1,0,0,0,1.0,0.0,0.0,1.1299999952316284,35.56800079345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,1,0,19.0,2,0,0,0,0.0,0.0,1.0,2.0,66.56099700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,1,40.0,0,0,0,0,0.0,0.0,1.0,16.270000457763672,80.77300262451172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
